ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.5419554578438448,0.05,14.974982207140876,5.065104754656138,-3.805743799913066,1.0
AT,2015H2,8419.703703703703,0.9194049650556252,0.05000000000000001,73.95304601231281,25.013714193239576,-8.563425612459946,1.0
AT,2016H1,16066.666666666666,0.8987076770420604,0.020698924731182785,140.22973152047882,47.43099324217109,-14.358954762892116,1.0
AT,2016H2,25660.148148148146,0.7390023159202116,0.0,189.06221691175634,63.94798474945251,-19.89653700307475,1.0
AT,2017H1,35178.962962962956,0.758013265633224,0.0,266.9945502099931,90.30764424488183,-18.98933098150482,1.0
AT,2017H2,43116.88888888888,0.7957775914012392,0.0,343.22618401350707,116.0920629167959,-13.843274144272918,1.0
AT,2018H1,47979.851851851854,0.8131260237925962,0.0,390.1902699515079,131.97709113868018,-10.767463482416957,1.0
AT,2018H2,50925.48148148148,0.8184733665266442,0.0,416.8057297189161,140.97944519496568,-12.099332712032668,1.0
AT,2019H1,52035.1111111111,0.8029203836894406,0.0,417.7988764680687,141.3153649477655,-16.28406164111563,1.0
AT,2019H2,52174.81481481481,0.7533715621005986,0.0,393.0038567434524,132.92875249228896,-18.906391666043245,1.0
AT,2020H1,58045.16840740741,0.6342272040796565,0.0,365.8051180128871,123.72911145370779,-20.42108872769259,1.0
AT,2020H2,72059.99287037036,0.45878129870203105,0.0,328.73090633934595,111.18921235898729,-28.909506992687508,1.0
AT,2021H1,85198.54255555556,0.34093992855262917,0.0,289.9109346755808,98.05883127873527,-35.4108789595823,1.0
AT,2021H2,97313.4997037037,0.29039417084974334,0.0,282.3215535575534,95.4918158489949,-39.88199628542639,1.0
AT,2022H1,105825.74472222221,0.3103368788618625,0.0,329.039139261884,111.29346837878707,-40.28010085610125,1.0
AT,2022H2,107389.1865,0.43293766627340563,1.1513440860215052,-761.0427177314101,-257.4134002135668,-142.61584593457164,1.0
AT,2023H1,107516.36157407408,0.6295126983787713,3.257840501792115,-2827.683880357006,-956.4295215142923,-327.98673319965786,1.0
AT,2023H2,102788.39238888888,0.7840970171973191,4.347267025089606,-3660.245466512553,-1238.0333050947245,-379.85633723018395,1.0
AT,2024H1,101909.39172222222,0.9444855240800107,4.473611111111111,-3595.920011952317,-1216.2760060721519,-376.88068411290845,1.0
AT,2024H2,96381.87577777776,1.070294136739495,3.7924193548387097,-2633.152348262123,-890.6316077328337,-272.7241340824692,1.0
AT,2025H1,92107.2855925926,1.1745202862562873,2.5235151049667177,-1247.2904648227193,-421.88075928385564,-149.46389350313208,1.0
AT,2025H2,87809.42761111112,1.2829834913039335,2.0,-630.1469072622724,-213.13949171732534,-93.58229839814611,1.0
AT,2026H1,82417.61518518518,1.3895573041026015,2.0194444444444444,-519.3003071482088,-177.7451763240036,-78.56095506036024,1.0
AT,2026H2,79549.60688888888,1.4524822891182967,2.25,-634.4222038756602,-217.14889234517398,-87.90922757211068,1.0
BE,2015H1,3482.4444444444443,0.7516302909382812,0.05,26.494533259733174,7.220202550683521,-1.6506460038856843,1.0
BE,2015H2,10581.925925925925,1.1238292823969556,0.05000000000000001,114.35967225812522,31.16491954166105,-2.4122202640384693,1.0
BE,2016H1,20232.888888888887,1.121347208246468,0.020698924731182785,222.0655046374208,60.51655665279216,-1.273391352271047,1.0
BE,2016H2,32340.44444444444,0.9446587845152244,0.0,304.4424084967608,82.9656379606924,-0.8788837918348543,1.0
BE,2017H1,44289.03703703703,0.9723568299197387,0.0,431.3582771062288,117.5523305916961,8.255355365309457,1.0
BE,2017H2,54290.81481481481,1.0167195000879188,0.0,552.0901729317821,150.45378741839002,20.518450357321225,1.0
BE,2018H1,60499.7037037037,1.0264546499073337,0.0,621.0506184783177,169.24665989326004,26.502105272162925,1.0
BE,2018H2,64223.40740740741,1.0310805540302426,0.0,662.1987250449182,180.46020576234318,27.38142785534481,1.0
BE,2019H1,65389.62962962963,1.0250670770894177,0.0,670.2848155471472,182.6638003943718,25.064373805490657,1.0
BE,2019H2,65559.11111111111,0.9772753109157338,0.0,640.6306846128233,174.5825547384721,22.747410580139867,1.0
BE,2020H1,73625.25605555555,0.8346951270837452,0.0,610.1241354274061,166.26901088088462,22.118810699484253,1.0
BE,2020H2,92297.01957407407,0.5915933575138697,0.0,543.804914393288,148.1959161720365,8.097196820361694,1.0
BE,2021H1,107394.53201851853,0.44034422285416147,0.0,471.7521775815492,128.56034271196327,-4.90936752635429,1.0
BE,2021H2,122476.059,0.36858085783543104,0.0,450.93954980090894,122.88855424469519,-12.485257889726086,1.0
BE,2022H1,132740.63724074073,0.38058512794586963,0.0,505.7862566788389,137.83519735082135,-13.738371884066979,1.0
BE,2022H2,134400.3864259259,0.5101357280257045,1.1513440860215052,-856.6057392221588,-233.43936209896688,-118.64180781997179,1.0
BE,2023H1,134585.6739074074,0.6942089899991194,3.257840501792115,-3450.810238237755,-940.403389627403,-311.96060131276846,1.0
BE,2023H2,131802.99855555556,0.8619609832211864,4.347267025089606,-4592.156831132351,-1251.4393871460284,-393.26241928148784,1.0
BE,2024H1,131079.55942592592,1.0307614327787027,4.473611111111111,-4514.184784828504,-1230.190703046329,-390.79538108708556,1.0
BE,2024H2,125191.37087037036,1.163560039632139,3.7924193548387097,-3299.092766011294,-899.0578460311472,-281.1503723807827,1.0
BE,2025H1,121727.94681481482,1.2954270316505625,2.5235151049667177,-1502.0502191965043,-409.33375642362836,-136.91689064290486,1.0
BE,2025H2,114350.5281111111,1.4240947915313864,2.0,-658.550647303255,-179.4660436853127,-59.90885036613347,1.0
BE,2026H1,110208.69268518519,1.555709047015693,2.0194444444444444,-510.5501830720096,-140.79870468878673,-41.61448342514339,1.0
BE,2026H2,102849.53333333333,1.6355499416976182,2.25,-631.9590175303942,-174.28063691856102,-45.04097214549772,1.0
CY,2015H2,155.85185185185185,3.4720049908041593,0.05000000000000001,5.378706180866657,24.404293016636377,-9.172846789063145,1.0
CY,2016H1,243.85185185185182,3.574225605521385,0.020698924731182785,8.663786188473125,39.30937472083995,-22.480573284223254,1.0
CY,2016H2,226.66666666666666,3.573556434055673,0.0,8.100474734036878,36.75351512720906,-47.09100662531821,1.0
CY,2017H1,215.4074074074074,3.5211101076600553,0.0,7.585975405170383,34.41912615776036,-74.87784906862629,1.0
CY,2017H2,189.6296296296296,3.391169984268114,0.0,6.430863087278069,29.17814467912009,-100.75719238194871,1.0
CY,2018H1,189.33333333333334,3.16005881191109,0.0,5.983044683884995,27.14630074357984,-115.59825387751728,1.0
CY,2018H2,323.99999999999994,2.75320595777365,0.0,8.52786058497667,38.69265238192682,-114.38612552507153,1.0
CY,2019H1,829.1851851851852,2.190986352613155,0.0,17.951323846616283,81.44883777956572,-76.15058880931541,1.0
CY,2019H2,1441.1851851851852,1.5665649427420494,0.0,22.295324222103797,101.15845835800273,-50.6766858003295,1.0
CY,2020H1,2229.5091296296296,1.3985915003914962,0.0,31.430977785163225,142.6087921286898,-1.541408052710575,1.0
CY,2020H2,3753.6225,1.346569251750542,0.0,50.241324479817706,227.9551927396448,87.85647338796998,1.0
