ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.5396919121176766,0.05,14.878583908903499,5.032499208152713,-3.8043110520277352,1.0
AT,2015H2,8419.703703703703,0.908793826740434,0.05000000000000001,73.05799661659998,24.71097467160493,-8.643978420458405,1.0
AT,2016H1,16066.666666666666,0.8962551168893027,0.020698924731182785,139.96820106576703,47.34253376146356,-14.413193509862174,1.0
AT,2016H2,25660.148148148146,0.7509627050579425,0.0,192.16260701643094,64.99665381918855,-19.86362980926153,1.0
AT,2017H1,35178.962962962956,0.7632064571182324,0.0,268.7545329100359,90.90293688822454,-19.118826123370642,1.0
AT,2017H2,43116.88888888888,0.7929472908919807,0.0,341.9826714023812,115.67145997036401,-14.711925782185524,1.0
AT,2018H1,47979.851851851854,0.8038758844763984,0.0,385.72868470588827,130.46801444474488,-13.093904890824994,1.0
AT,2018H2,50925.48148148148,0.8075174367400795,0.0,411.230785414677,139.0937884034084,-14.910962408634864,1.0
AT,2019H1,52035.1111111111,0.8036334207095668,0.0,418.17096188997135,141.44121829527188,-18.19214500871547,1.0
AT,2019H2,52174.81481481481,0.7930093304879415,0.0,413.7228598607374,139.9367021345298,-19.93065442805866,1.0
AT,2020H1,58045.16840740741,0.7136014136874783,0.0,412.12878474282496,139.3975257036445,-19.184095198004645,1.0
AT,2020H2,72059.99287037036,0.5554728392953323,0.0,398.72376094620375,134.86344019827627,-25.419484632510507,1.0
AT,2021H1,85198.54255555556,0.45622927873389424,0.0,388.13000288411814,131.2802309772089,-29.84522731927628,1.0
AT,2021H2,97313.4997037037,0.4056503870420003,0.0,394.4784381942058,133.42751165033172,-34.17159942045609,1.0
AT,2022H1,105825.74472222221,0.40266046600479316,0.0,426.3777041929058,144.2170486023696,-36.67839432177881,1.0
AT,2022H2,107389.1865,0.44469657077043023,1.1513440860215052,-748.1457044087696,-253.05114304372387,-144.90829195477272,1.0
AT,2023H1,107516.36157407408,0.5210372184050496,3.257840501792115,-2944.509556237139,-995.9443789065241,-341.7559804367954,1.0
AT,2023H2,102788.39238888888,0.5623389729784379,4.347267025089606,-3887.682778334596,-1314.9611967984429,-401.2996408271694,1.0
AT,2024H1,101909.39172222222,0.5938795535841844,4.473611111111111,-3953.4725038425004,-1337.213767577372,-415.921630388455,1.0
AT,2024H2,96381.87577777776,0.6229323650009161,3.7924193548387097,-3063.89198966,-1036.3240282969728,-317.1271048776608,1.0
AT,2025H1,92107.2855925926,0.6298847153843422,2.5235151049667177,-1748.5720879535347,-591.433143227984,-201.925615820036,1.0
AT,2025H2,87809.42761111112,0.630405914453949,2.0,-1202.635360256466,-406.7767157978914,-156.83335931079475,1.0
AT,2026H1,82417.61518518518,0.6302961034042446,2.0194444444444444,-1144.6241713489924,-391.77990530839,-147.64482946487013,1.0
AT,2026H2,79549.60688888888,0.6308224894110154,2.25,-1288.0493445068344,-440.87121594565804,-159.2374924022639,1.0
BE,2015H1,3482.4444444444443,0.7493822968278383,0.05,26.374431153144453,7.187472721936082,-1.6493375382443665,1.0
BE,2015H2,10581.925925925925,1.1150617414444763,0.05000000000000001,113.43990556775218,30.914267766113145,-2.4406853259501897,1.0
BE,2016H1,20232.888888888887,1.1180729087785746,0.020698924731182785,221.5273389003762,60.3698975065748,-1.3858297647509292,1.0
BE,2016H2,32340.44444444444,0.9572585462859053,0.0,308.58928681684614,84.09573152114625,-0.7645521073038187,1.0
