month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2020-03-01,AT,PEPP,309.372,309.372,-0.25715043537116244,-0.25715043537116244,single_maturity_ea_slope
2020-04-01,AT,PEPP,1793.113,1483.741,-0.17600392081915833,-0.19000441019154177,single_maturity_ea_slope
2020-05-01,AT,PEPP,4368.546,2575.433,-0.2760893422581591,-0.24075492875014787,single_maturity_ea_slope
2020-06-01,AT,PEPP,6947.535,2578.9889999999996,-0.31181177397751814,-0.2671318843489452,single_maturity_ea_slope
2020-07-01,AT,PEPP,8939.784,1992.2489999999998,-0.3715328288756472,-0.29039784662861295,single_maturity_ea_slope
2020-08-01,AT,PEPP,10347.071,1407.2870000000003,-0.3688410367082462,-0.3010667674891731,single_maturity_ea_slope
2020-09-01,AT,PEPP,12102.846,1755.7749999999996,-0.4082577500534038,-0.3166170973381782,single_maturity_ea_slope
2020-10-01,AT,PEPP,13859.51,1756.6640000000007,-0.4853335792002613,-0.3380015596960664,single_maturity_ea_slope
2020-11-01,AT,PEPP,15617.063,1757.5529999999999,-0.4920613059310318,-0.3553395296571597,single_maturity_ea_slope
2020-12-01,AT,PEPP,17023.461,1406.3979999999992,-0.5123804536886877,-0.3683135095943824,single_maturity_ea_slope
2021-01-01,AT,PEPP,18395.188000000002,1371.7270000000026,-0.5039554222049643,-0.3784283110228634,single_maturity_ea_slope
2021-02-01,AT,PEPP,19802.475,1407.2869999999966,-0.34079247632757914,-0.3757536745998495,single_maturity_ea_slope
2021-03-01,AT,PEPP,21536.025,1733.550000000003,-0.2702035686314134,-0.3672573812401611,single_maturity_ea_slope
2021-04-01,AT,PEPP,23577.169,2041.1440000000002,-0.2421553797730696,-0.35642693761554506,single_maturity_ea_slope
2021-05-01,AT,PEPP,25540.97,1963.8009999999995,-0.15202487306011397,-0.3407108164668174,single_maturity_ea_slope
2021-06-01,AT,PEPP,27430.095,1889.125,-0.20266874728341497,-0.3312037869087318,single_maturity_ea_slope
2021-07-01,AT,PEPP,29530.802,2100.7069999999985,-0.3356031270210369,-0.33151673894333283,single_maturity_ea_slope
2021-08-01,AT,PEPP,31106.11,1575.308000000001,-0.4203523557501021,-0.33601564471588485,single_maturity_ea_slope
2021-09-01,AT,PEPP,32823.658,1717.5480000000025,-0.3178428710887508,-0.3350647266007334,single_maturity_ea_slope
2021-10-01,AT,PEPP,34405.189,1581.5309999999954,-0.17784722324989233,-0.32783778315066375,single_maturity_ea_slope
2021-11-01,AT,PEPP,35854.259,1449.0699999999997,-0.23670014055973615,-0.324154404176098,single_maturity_ea_slope
2021-12-01,AT,PEPP,36290.758,436.49900000000343,-0.24213251206035152,-0.32316785895467737,single_maturity_ea_slope
2022-01-01,AT,PEPP,37578.919,1288.161,-0.03982242930759364,-0.313455111975457,single_maturity_ea_slope
2022-02-01,AT,PEPP,38396.799,817.8799999999974,0.35052365759269455,-0.29931187685696714,single_maturity_ea_slope
2022-03-01,AT,PEPP,39097.331,700.5319999999992,0.5006118849015885,-0.2849791288575642,single_maturity_ea_slope
2022-04-01,AT,PEPP,39149.782,52.45100000000093,1.1223403645073764,-0.2830936697061828,single_maturity_ea_slope
2022-05-01,AT,PEPP,39364.031,214.24900000000343,1.3365697280569666,-0.27427822945547875,single_maturity_ea_slope
2022-06-01,AT,PEPP,39522.273,158.24199999999837,1.871275177841018,-0.26568771487962406,single_maturity_ea_slope
2022-07-01,AT,PEPP,39491.158,0.0,1.379807818797617,-0.26568771487962406,single_maturity_ea_slope
