month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2020-03-01,AT,PEPP,348.0,348.0,-0.15394074822663562,-0.15394074822663562,single_maturity_ea_slope
2020-04-01,AT,PEPP,2017.0,1672.918918918919,-0.08313742104743416,-0.09521579752733357,single_maturity_ea_slope
2020-05-01,AT,PEPP,4914.0,2915.8223217618515,-0.15553949736111172,-0.13101009758972512,single_maturity_ea_slope
2020-06-01,AT,PEPP,7815.0,2947.3759909399773,-0.194022639821423,-0.15477486458931536,single_maturity_ea_slope
2020-07-01,AT,PEPP,10056.0,2306.05994005994,-0.24810879469007435,-0.1761783686917134,single_maturity_ea_slope
2020-08-01,AT,PEPP,11639.0,1659.8102658111825,-0.24411211546778477,-0.18586623966808086,single_maturity_ea_slope
2020-09-01,AT,PEPP,13614.0,2063.738944800244,-0.28054253695812514,-0.2002181687019394,single_maturity_ea_slope
2020-10-01,AT,PEPP,15590.0,2080.465930018416,-0.36588350325388497,-0.22232599963974733,single_maturity_ea_slope
2020-11-01,AT,PEPP,17567.0,2095.8624580664837,-0.3779323476042934,-0.24089089421114382,single_maturity_ea_slope
2020-12-01,AT,PEPP,19149.0,1722.62600064041,-0.4082537956474356,-0.25594670315974555,single_maturity_ea_slope
2021-01-01,AT,PEPP,20692.0,1702.097706879362,-0.39839571067083074,-0.26766437805979676,single_maturity_ea_slope
2021-02-01,AT,PEPP,22275.0,1756.8239247311828,-0.20139663988523684,-0.2624378573925515,single_maturity_ea_slope
2021-03-01,AT,PEPP,24225.0,2140.972222222222,-0.10745313624236003,-0.248740520639139,single_maturity_ea_slope
2021-04-01,AT,PEPP,26521.0,2505.8492723492723,-0.0683603390713704,-0.2316972135719914,single_maturity_ea_slope
2021-05-01,AT,PEPP,28730.0,2443.1189971751414,0.03574454489258082,-0.2089547130240373,single_maturity_ea_slope
2021-06-01,AT,PEPP,30855.0,2382.714388231073,-0.029900996418152945,-0.1951276552757602,single_maturity_ea_slope
2021-07-01,AT,PEPP,33218.0,2647.4303097345132,-0.19164404573439445,-0.19485001624008397,single_maturity_ea_slope
2021-08-01,AT,PEPP,34990.0,2084.434161023326,-0.2918700304540769,-0.20062971992486864,single_maturity_ea_slope
2021-09-01,AT,PEPP,36922.0,2275.0392156862745,-0.1757775312653379,-0.19909839161664952,single_maturity_ea_slope
2021-10-01,AT,PEPP,38701.0,2146.1638822593477,-0.027028454254063528,-0.1895562535636222,single_maturity_ea_slope
2021-11-01,AT,PEPP,40331.0,2016.2375249501,-0.10445834165721213,-0.18530201728679788,single_maturity_ea_slope
2021-12-01,AT,PEPP,40822.0,900.3686561104344,-0.13255034664404525,-0.1841385282170758,single_maturity_ea_slope
2022-01-01,AT,PEPP,42271.0,1863.3524157531465,0.08667262186884153,-0.17220087330648737,single_maturity_ea_slope
2022-02-01,AT,PEPP,43191.0,1357.0450785773367,0.4616662367009088,-0.15228500560007688,single_maturity_ea_slope
2022-03-01,AT,PEPP,43979.0,1244.1787072243346,0.6266185424222583,-0.13024959757736432,single_maturity_ea_slope
2022-04-01,AT,PEPP,44038.0,525.8683651804672,1.2183860948508358,-0.11414521393593545,single_maturity_ea_slope
2022-05-01,AT,PEPP,44279.0,712.0954214805306,1.4524603716442677,-0.08895104368011467,single_maturity_ea_slope
2022-06-01,AT,PEPP,44457.0,657.2099567099567,1.9793780621279435,-0.05837483561186766,single_maturity_ea_slope
