ncb,hy,stock_eur_m,portfolio_yield_pct,ref_pct,carry_eur_m_pa,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned,approx_share
AT,2015H1,2759.333333333333,0.111090372353736,0.05,2.4947692530975587,0.8438252166742969,-3.936622943638074,1.0
AT,2015H2,8419.703703703703,0.3072537227523369,0.05000000000000001,21.89909229224159,7.407100386349261,-10.919753585882551,1.0
AT,2016H1,16066.666666666666,0.25273747615596653,0.020698924731182785,36.71387041784214,12.4180180679324,-20.03469910931018,1.0
AT,2016H2,25660.148148148146,0.13940205752714774,0.0,35.32846528593154,11.949421710107066,-30.848012918651822,1.0
AT,2017H1,35178.962962962956,0.12839412131988234,0.0,45.21530092193791,15.293523058325013,-37.97491214008342,1.0
AT,2017H2,43116.88888888888,0.13743937607772894,0.0,59.25394295867446,20.04192219133247,-41.25104686481837,1.0
AT,2018H1,47979.851851851854,0.14375621547658277,0.0,69.00933224707013,23.341563418592973,-43.07273127447869,1.0
AT,2018H2,50925.48148148148,0.14990808961870597,0.0,76.34479510256412,25.822694098618,-45.83017811210243,1.0
AT,2019H1,52035.1111111111,0.1485224782868075,0.0,77.28351185375517,26.140203569678732,-49.150618372074526,1.0
AT,2019H2,52174.81481481481,0.14197906449348888,0.0,74.06069566825992,25.05012537400978,-49.81098035033158,1.0
AT,2020H1,58045.16840740741,0.09863975261608376,0.0,56.154447805927326,18.993555828150626,-55.06328579351253,1.0
AT,2020H2,72059.99287037036,0.005373695386286031,0.0,2.8609375685139447,0.9676771752118869,-70.5063143081651,1.0
AT,2021H1,85198.54255555556,-0.05985205135167271,0.0,-51.37896149811224,-17.37830593543455,-80.74454870757224,1.0
AT,2021H2,97313.4997037037,-0.09245208291199987,0.0,-90.11925788184432,-30.48173782575488,-88.53399240423005,1.0
AT,2022H1,105825.74472222221,-0.0774284678276095,0.0,-81.59816372548372,-27.599581845250707,-93.26631488789384,1.0
AT,2022H2,107389.1865,-0.027366442283072345,1.1513440860215052,-1255.1135518059034,-424.52682286687076,-200.74947946641132,1.0
AT,2023H1,107516.36157407408,0.06249384743038805,3.257840501792115,-3437.4964587809245,-1162.691174963952,-395.04638844500965,1.0
AT,2023H2,102788.39238888888,0.1110854453404525,4.347267025089606,-4351.54158852895,-1471.855771530171,-448.64500391564076,1.0
AT,2024H1,101909.39172222222,0.1481093701890378,4.473611111111111,-4407.739167661356,-1490.863916002488,-463.30818385365757,1.0
AT,2024H2,96381.87577777776,0.17991281678938922,3.7924193548387097,-3490.889590272693,-1180.7507492889204,-359.5348310274538,1.0
AT,2025H1,92107.2855925926,0.18670111381235444,2.5235151049667177,-2156.7706602935514,-729.5013226090146,-242.05880808350767,1.0
AT,2025H2,87809.42761111112,0.18682738362235993,2.0,-1592.1371339686311,-538.5209314962391,-195.8657919937431,1.0
AT,2026H1,82417.61518518518,0.1868007799287019,2.0194444444444444,-1510.1447238407866,-516.8896234394807,-183.93574928127896,1.0
AT,2026H2,79549.60688888888,0.18692830636714056,2.25,-1641.1654221208819,-561.7351526974542,-195.10123992653484,1.0
BE,2015H1,3482.4444444444443,0.31181708421747145,0.05,10.507522757145885,2.8634753391867793,-1.9169728211255919,1.0
BE,2015H2,10581.925925925925,0.5062398318303056,0.05000000000000001,48.28062576587465,13.157276404380612,-5.1695775678512,1.0
BE,2016H1,20232.888888888887,0.45879344391454624,0.020698924731182785,88.23358236330876,24.045123957844055,-8.407593219398521,1.0
BE,2016H2,32340.44444444444,0.32781755566180876,0.0,105.14992212896253,28.655108905562756,-14.142325723196132,1.0
BE,2017H1,44289.03703703703,0.32601505544161086,0.0,144.72737699050256,39.44062596825251,-13.827809230155927,1.0
BE,2017H2,54290.81481481481,0.3434157647706398,0.0,186.4174757796261,50.80187376471621,-10.491095291434638,1.0
BE,2018H1,60499.7037037037,0.34604022163094655,0.0,209.39332725013014,57.06317679523917,-9.35111789783249,1.0
BE,2018H2,64223.40740740741,0.3525258746790776,0.0,226.41343482777006,61.70144020377983,-9.951432006940609,1.0
BE,2019H1,65389.62962962963,0.3540068668394401,0.0,231.48344991156776,63.083103941018614,-12.207718000734644,1.0
BE,2019H2,65559.11111111111,0.3457726356645961,0.0,226.66394854388344,61.76970937290733,-13.091396351434028,1.0
BE,2020H1,73625.25605555555,0.28606285834944634,0.0,208.3933694929608,56.79067161546828,-17.266170006194873,1.0
BE,2020H2,92297.01957407407,0.15327600586622073,0.0,140.177228229138,38.20063448130208,-33.27335700207491,1.0
BE,2021H1,107394.53201851853,0.06380705336492849,0.0,67.69392792335788,18.447725282288562,-44.918517489849116,1.0
BE,2021H2,122476.059,0.013346769500232163,0.0,16.023803413046636,4.366753893731199,-53.685500684743964,1.0
BE,2022H1,132740.63724074073,0.019521940610964947,0.0,26.237763735479362,7.150228569418004,-58.51650447322513,1.0
BE,2022H2,134400.3864259259,0.06742606278312539,1.1513440860215052,-1451.4363672946395,-395.5406369518026,-171.76329355134314,1.0
BE,2023H1,134585.6739074074,0.12298836323137528,3.257840501792115,-4219.680300826319,-1149.9333153907398,-382.28852887179727,1.0
BE,2023H2,131802.99855555556,0.15642574658413103,4.347267025089606,-5521.703797216433,-1504.7564510741065,-481.5456834595762,1.0
BE,2024H1,131079.55942592592,0.19433914021888699,4.473611111111111,-5610.411620549107,-1528.9308136119655,-501.375081463135,1.0
BE,2024H2,125191.37087037036,0.21943003356815652,3.7924193548387097,-4480.628312532354,-1221.0460042328261,-399.8300859713595,1.0
BE,2025H1,121727.94681481482,0.22301872340027443,2.5235151049667177,-2806.847024747776,-764.912665144509,-277.47015061900214,1.0
BE,2025H2,114350.5281111111,0.22337131608140467,2.0,-2031.584282634397,-553.640627506308,-210.98548800381192,1.0
BE,2026H1,110208.69268518519,0.22340118706222192,2.0194444444444444,-1977.9602654510581,-545.4786865919467,-212.52481243374504,1.0
BE,2026H2,102849.53333333333,0.2229727707580709,2.25,-2084.7880458149207,-574.9394792793692,-208.30556650844983,1.0
CY,2015H2,155.85185185185185,2.885923035477642,0.05000000000000001,4.4721951665227,20.291266635765428,1.9644126635336157,1.0
CY,2016H1,243.85185185185182,2.9859555346318767,0.020698924731182785,7.22944406738954,32.80147036020663,0.34875318296404895,1.0
CY,2016H2,226.66666666666666,2.985955534631877,0.0,6.76816587849892,30.708556617508716,-12.088878011250173,1.0
CY,2017H1,215.4074074074074,2.985955534631877,0.0,6.431969403488516,29.183164262652074,-24.08527093575636,1.0
CY,2017H2,189.6296296296296,2.985955534631877,0.0,5.6622564212278546,25.690818608111865,-35.60215044803898,1.0
CY,2018H1,189.33333333333334,2.985955534631877,0.0,5.653409145569686,25.650676704036687,-40.76361798903498,1.0
CY,2018H2,323.99999999999994,2.5934734283370937,0.0,7.802584809651935,35.40192744851151,-36.25094476220893,1.0
CY,2019H1,829.1851851851852,1.8424824484179798,0.0,15.073108575359688,68.38978482468099,-6.901037117072277,1.0
CY,2019H2,1441.1851851851852,1.2660651637177074,0.0,17.99359143115534,81.64061447892622,6.779508754584867,1.0
CY,2020H1,2229.5091296296296,1.1160595665540172,0.0,25.110829083389138,113.9329813220923,39.87613970042915,1.0
CY,2020H2,3753.6225,1.0622020023046885,0.0,39.5950191542417,179.6507221154342,108.17673063205721,1.0
CY,2021H1,4880.066592592592,0.8675266862947214,0.0,42.25320744834257,191.71146755146358,128.3452247793259,1.0
CY,2021H2,5628.407481481481,0.7704739947092313,0.0,43.33251051372333,196.60848690437084,138.5562323258957,1.0
CY,2022H1,6076.875907407408,0.7802587376210434,0.0,47.41354505773219,215.12497757591743,149.45824453327427,1.0
CY,2022H2,6124.868333333333,0.881326382628934,1.1513440860215052,-17.075531060385703,-77.47518629939069,146.30215710106876,1.0
CY,2023H1,6280.427703703704,0.9571268012923149,3.257840501792115,-144.6634739459256,-656.3678491194447,111.2769373994977,1.0
CY,2023H2,5978.788833333333,1.007953647728774,4.347267025089606,-199.69252079147876,-906.0459201065281,117.1648475080021,1.0
CY,2024H1,5950.050129629629,1.0226475634280339,4.473611111111111,-205.41519114623725,-932.0108491208588,95.54488302797175,1.0
CY,2024H2,5641.156796296295,1.045693049828878,3.7924193548387097,-155.20670517716286,-704.204651439033,117.01126682243358,1.0
CY,2025H1,5314.034888888889,1.0550225016319719,2.5235151049667177,-78.03620928196112,-354.0662853083536,133.3762292171532,1.0
CY,2025H2,5174.176777777778,1.0549970892866245,2.0,-48.89605007300315,-221.85140686480563,120.80373263769043,1.0
CY,2026H1,4528.518981481481,1.0548268417191629,2.0194444444444444,-43.668572773320996,-200.4984975818228,132.45537657637894,1.0
CY,2026H2,4455.330666666667,1.0548029571438096,2.25,-53.249980377465,-244.49026803243802,122.1436447384813,1.0
DE,2015H1,25329.333333333332,-0.06009745142804569,0.05,-25.107444571991135,-0.9428220161392985,-5.72327017645167,1.0
DE,2015H2,76994.07407407407,-0.02418116303053201,0.05000000000000001,-59.515362424958816,-2.23489068478747,-20.561744657019283,1.0
DE,2016H1,147061.4814814815,-0.1360093667988983,0.020698924731182785,-236.3796914169824,-8.876410205631311,-41.329127382873885,1.0
DE,2016H2,234945.77777777775,-0.2500518037920742,0.0,-591.0828651286485,-22.196043767340285,-64.99347839609918,1.0
DE,2017H1,319386.962962963,-0.27693087033740843,0.0,-885.6475600106122,-33.257387693272356,-86.52582289168079,1.0
DE,2017H2,383489.18518518517,-0.2906180210771064,0.0,-1115.3129737465526,-41.88166675102807,-103.17463580717892,1.0
DE,2018H1,424181.4814814814,-0.2940870840311491,0.0,-1247.3550828728637,-46.84004501946533,-113.25433971253699,1.0
DE,2018H2,452904.14814814815,-0.29470818984195124,0.0,-1334.7585044707973,-50.122173948682025,-121.77504615940246,1.0
DE,2019H1,458284.5925925926,-0.29680157639661336,0.0,-1360.2197356905356,-51.07828118146517,-126.36910312321844,1.0
DE,2019H2,463711.85185185185,-0.3033412545412224,0.0,-1406.7382489131853,-52.82512078111555,-127.68622650545693,1.0
DE,2020H1,496556.8767037037,-0.33130826339412356,0.0,-1651.8079625716334,-62.02785429163365,-136.0846959132968,1.0
DE,2020H2,618376.5120185185,-0.41771636667937967,0.0,-2591.204141743969,-97.30358285338654,-168.77757433676354,1.0
DE,2021H1,736352.1964259259,-0.4730600978196524,0.0,-3487.454077984355,-130.9591055979645,-194.3253483701022,1.0
DE,2021H2,858094.6883148147,-0.5068119557588212,0.0,-4350.757138822596,-163.3774239985053,-221.42967857698045,1.0
DE,2022H1,940484.3705925926,-0.49553855877922004,0.0,-4658.316238343629,-174.9267272125763,-240.59346025521947,1.0
DE,2022H2,943254.2479444444,-0.46632437964725787,1.1513440860215052,-15263.582435071658,-573.1703010905576,-349.39295769009817,1.0
DE,2023H1,936149.1158703704,-0.43346887965614395,3.257840501792115,-34514.536343259366,-1296.0723520850227,-528.4275655660801,1.0
DE,2023H2,906484.0061851852,-0.4212371851215317,4.347267025089606,-43208.489696725635,-1622.543276094556,-599.3325084800257,1.0
DE,2024H1,871863.2527222222,-0.41867805066188873,4.473611111111111,-42659.21592355262,-1601.9172261295532,-574.3614939807228,1.0
DE,2024H2,831022.538574074,-0.4178680903912133,3.7924193548387097,-35030.5839160988,-1315.4507086379247,-494.234790376458,1.0
DE,2025H1,778553.2537222222,-0.4165721572005659,2.5235151049667177,-22945.855241747853,-861.6511106510247,-374.2085961255179,1.0
DE,2025H2,733729.8837222223,-0.41604574872381406,2.0,-17727.250332771288,-665.6847076342668,-323.0295681317707,1.0
DE,2026H1,690076.8719444444,-0.4161128332830413,2.0194444444444444,-16803.02657448612,-638.5293128870811,-305.5754387288794,1.0
DE,2026H2,660302.9745555555,-0.41630062469061113,2.25,-17605.656974801932,-669.0299513133828,-302.39603854246343,1.0
EE,2020H1,160.897,-0.016879170582402802,0.0,-0.027158079091968636,-0.0911344935972102,-74.10959188981964,1.0
EE,2020H2,366.0952592592592,-0.07432184801580723,0.0,-0.2811595740199078,-0.9434885034225097,-72.4174799867995,1.0
EE,2021H1,535.7311111111111,-0.12809849395773443,0.0,-0.688883518847685,-2.3116896605627013,-65.67793243270039,1.0
EE,2021H2,586.5468888888889,-0.1313625811934113,0.0,-0.7705068871647942,-2.5855935810899138,-60.63784815956507,1.0
EE,2022H1,606.546962962963,-0.10020362818803169,0.0,-0.6042127811800303,-2.0275596683893635,-67.6942927110325,1.0
EE,2022H2,661.0654814814815,0.14784282229919823,1.1513440860215052,-6.8374038641702946,-22.944308269027832,200.83303513143161,1.0
EE,2023H1,763.2877037037036,0.6311145580691094,3.257840501792115,-20.070062078340598,-67.3492016051698,700.2955849137726,1.0
