month,ncb,programme,stock_eur_m,gross_purchases_eur_m,purchase_yield_pct,portfolio_yield_pct,yield_method
2020-03-01,AT,PEPP,348.0,348.0,0.006944183871496423,0.006944183871496423,single_maturity_ea_slope
2020-04-01,AT,PEPP,2017.0,1672.918918918919,0.08443002543881062,0.07121167534711065,single_maturity_ea_slope
2020-05-01,AT,PEPP,4914.0,2915.8223217618515,0.03157879233772841,0.047694694281882166,single_maturity_ea_slope
2020-06-01,AT,PEPP,7815.0,2947.3759909399773,0.002764215655842339,0.030749458969811582,single_maturity_ea_slope
2020-07-01,AT,PEPP,10056.0,2306.05994005994,-0.052529869595556056,0.011651694109063398,single_maturity_ea_slope
2020-08-01,AT,PEPP,11639.0,1659.8102658111825,-0.0486661681982965,0.00304990640655104,single_maturity_ea_slope
2020-09-01,AT,PEPP,13614.0,2063.738944800244,-0.08521417607557755,-0.010329998430045827,single_maturity_ea_slope
2020-10-01,AT,PEPP,15590.0,2080.465930018416,-0.18168657817475647,-0.033197318894661244,single_maturity_ea_slope
2020-11-01,AT,PEPP,17567.0,2095.8624580664837,-0.20011700110678626,-0.05311197110965416,single_maturity_ea_slope
2020-12-01,AT,PEPP,19149.0,1722.62600064041,-0.23595663598513822,-0.0695605049126147,single_maturity_ea_slope
2021-01-01,AT,PEPP,20692.0,1702.097706879362,-0.21433968522559543,-0.08146985687543117,single_maturity_ea_slope
2021-02-01,AT,PEPP,22275.0,1756.8239247311828,0.024258867025011926,-0.07313105769789599,single_maturity_ea_slope
2021-03-01,AT,PEPP,24225.0,2140.972222222222,0.149277594583783,-0.05347488653104539,single_maturity_ea_slope
2021-04-01,AT,PEPP,26521.0,2505.8492723492723,0.19979339253680903,-0.029544712977584528,single_maturity_ea_slope
2021-05-01,AT,PEPP,28730.0,2443.1189971751414,0.3175982816770741,-2.4641798431551563e-05,single_maturity_ea_slope
2021-06-01,AT,PEPP,30855.0,2382.714388231073,0.2365621758961254,0.018245292234516843,single_maturity_ea_slope
2021-07-01,AT,PEPP,33218.0,2647.4303097345132,0.047254961667983875,0.020557324209155275,single_maturity_ea_slope
2021-08-01,AT,PEPP,34990.0,2084.434161023326,-0.07596259561666338,0.0148074122884874,single_maturity_ea_slope
2021-09-01,AT,PEPP,36922.0,2275.0392156862745,0.05795789957218757,0.01746623496186343,single_maturity_ea_slope
2021-10-01,AT,PEPP,38701.0,2146.1638822593477,0.19573241549033144,0.02735198566800856,single_maturity_ea_slope
2021-11-01,AT,PEPP,40331.0,2016.2375249501,0.0770712523215854,0.029837563787567755,single_maturity_ea_slope
2021-12-01,AT,PEPP,40822.0,900.3686561104344,0.023618057718045746,0.029700386571324403,single_maturity_ea_slope
2022-01-01,AT,PEPP,42271.0,1863.3524157531465,0.25087784555592907,0.03945013350205956,single_maturity_ea_slope
2022-02-01,AT,PEPP,43191.0,1357.0450785773367,0.579287682418048,0.056411627539884435,single_maturity_ea_slope
2022-03-01,AT,PEPP,43979.0,1244.1787072243346,0.758958217029986,0.0762868749869992,single_maturity_ea_slope
2022-04-01,AT,PEPP,44038.0,525.8683651804672,1.3116382326613336,0.09103850310098423,single_maturity_ea_slope
2022-05-01,AT,PEPP,44279.0,712.0954214805306,1.566244950638903,0.1147627912969758,single_maturity_ea_slope
2022-06-01,AT,PEPP,44457.0,657.2099567099567,2.1030365730006553,0.14415553768114514,single_maturity_ea_slope
2022-07-01,AT,PEPP,44422.0,449.28104575163394,1.7527020892569107,0.1604242666179815,single_maturity_ea_slope
2022-08-01,AT,PEPP,44576.0,643.0136503742845,1.7207360576772919,0.18293193398362861,single_maturity_ea_slope
2022-09-01,AT,PEPP,44119.0,29.21291448516581,2.4800869273453063,0.18445297009914,single_maturity_ea_slope
2022-10-01,AT,PEPP,43959.0,323.76096491228077,2.941111069334727,0.20475594073409,single_maturity_ea_slope
2022-11-01,AT,PEPP,43448.0,0.0,2.7096858985954273,0.20475594073409,single_maturity_ea_slope
2022-12-01,AT,PEPP,43547.0,577.9241622574956,2.73946507981992,0.23839475984384714,single_maturity_ea_slope
2023-01-01,AT,PEPP,44036.0,976.1029082774048,2.8112812085391097,0.29542541533569405,single_maturity_ea_slope
2023-02-01,AT,PEPP,44467.0,929.5960144927535,3.045105838728501,0.35290831192675487,single_maturity_ea_slope
2023-03-01,AT,PEPP,45106.0,1150.1149425287356,3.064377396940091,0.422045480172189,single_maturity_ea_slope
2023-04-01,AT,PEPP,44272.0,0.0,3.041945567567854,0.422045480172189,single_maturity_ea_slope
2023-05-01,AT,PEPP,44686.0,920.7765567765568,3.050518026704404,0.476206423218728,single_maturity_ea_slope
2023-06-01,AT,PEPP,44958.0,790.6397400185701,3.0548150320715,0.5215543132519369,single_maturity_ea_slope
2023-07-01,AT,PEPP,43658.0,0.0,3.1321460941353663,0.5215543132519369,single_maturity_ea_slope
2023-08-01,AT,PEPP,43949.0,791.43558000917,3.194619180853587,0.5696909863023464,single_maturity_ea_slope
2023-09-01,AT,PEPP,44128.0,689.0858867223769,3.3081487549564,0.6124536902491547,single_maturity_ea_slope
2023-10-01,AT,PEPP,42923.0,0.0,3.5142789988970677,0.6124536902491547,single_maturity_ea_slope
2023-11-01,AT,PEPP,43188.0,760.4178208679593,3.2348907053169635,0.658627345902608,single_maturity_ea_slope
2023-12-01,AT,PEPP,43343.0,661.1884669479606,2.7027333800327,0.6898097590947162,single_maturity_ea_slope
2024-01-01,AT,PEPP,43502.0,673.5180436847104,2.7786528425277726,0.7221501918821323,single_maturity_ea_slope
2024-02-01,AT,PEPP,43900.0,923.3864734299516,2.903293594128667,0.7680280578102743,single_maturity_ea_slope
2024-03-01,AT,PEPP,44374.0,1016.7794263105836,2.85664137246676,0.8158862416084685,single_maturity_ea_slope
2024-04-01,AT,PEPP,44612.0,794.0651629072681,2.9852813970821828,0.854500092535158,single_maturity_ea_slope
