ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
AT,2015-03-01,1080.888888888889,1.0,0.456240968932663,0.05,4.3910134953077185,0.029565,1.485206661697182,-1.07854373879656
AT,2015-04-01,2152.0,1.0,0.41557404801351583,0.05,7.8671535132508605,0.029565,2.6609685483682934,-2.7381349859992756
AT,2015-05-01,3320.0,1.0,0.5628679812958062,0.05,17.027216979020764,0.029565,5.75924809031651,-4.749553152189974
AT,2015-06-01,4484.444444444444,1.0,0.7240846502287213,0.05,30.228951648034652,0.029565,10.224573532228868,-6.651012331125132
AT,2015-07-01,5696.0,1.0,0.8356734777425749,0.05,44.75196129221707,0.029565,15.13680409004467,-6.843234683919
AT,2015-08-01,6641.777777777777,1.0,0.8765728591718502,0.05,54.89913247761835,0.029565,18.568960756847066,-7.371666621410441
AT,2015-09-01,7778.666666666666,1.0,0.9165868268481457,0.05,67.40890063776109,0.029565,22.800236982161707,-7.949579775664866
AT,2015-10-01,8955.555555555555,1.0,0.9279423750122925,0.05,78.62461713998974,0.029565,26.593816045996867,-9.13313957737136
AT,2015-11-01,10209.777777777777,1.0,0.9404312382687134,0.05,90.91105069115059,0.029565,30.749552068713204,-10.317337969917201
AT,2015-12-01,11236.444444444443,1.0,0.9555561833990265,0.05,101.75231746086303,0.029565,34.41647808586607,-10.248911894467568
AT,2016-01-01,12434.666666666666,1.0,0.9587665145600539,0.05,113.0020868638275,0.029565,38.221575127288176,-11.193265756271096
AT,2016-02-01,13642.666666666666,1.0,0.9386157106362001,0.05,121.23087934972799,0.029565,41.00486363934652,-12.522532735906836
AT,2016-03-01,14845.333333333332,1.0,0.9165481779730842,0.0241935483870967,132.47301927747176,0.029565,44.80738010399857,-13.62323994111
AT,2016-04-01,16676.444444444445,1.0,0.8823796004966137,0.0,147.14954386592862,0.029565,49.77153521594068,-14.853668249389436
AT,2016-05-01,18578.666666666664,1.0,0.8534246648211019,0.0,158.55492372822977,0.029565,53.629265593854136,-16.375262179581874
