month,ncb,programme,holdings_eur_m
2022-12-01,ES,PSPP,316322
2023-01-01,ES,PSPP,312397
2023-02-01,ES,PSPP,313352
2023-03-01,ES,PSPP,314815
2023-04-01,ES,PSPP,315615
2023-05-01,ES,PSPP,314529
2023-06-01,ES,PSPP,314840
2023-07-01,ES,PSPP,309841
2023-08-01,ES,PSPP,309841
2023-09-01,ES,PSPP,309841
2023-10-01,ES,PSPP,303137
2023-11-01,ES,PSPP,302158
2023-12-01,ES,PSPP,301989
2024-01-01,ES,PSPP,297226
2024-02-01,ES,PSPP,297226
2024-03-01,ES,PSPP,297166
2024-04-01,ES,PSPP,291646
2024-05-01,ES,PSPP,288725
2024-06-01,ES,PSPP,288725
2024-07-01,ES,PSPP,284137
2024-08-01,ES,PSPP,284137
2024-09-01,ES,PSPP,283742
2024-10-01,ES,PSPP,278365
2024-11-01,ES,PSPP,278365
2024-12-01,ES,PSPP,274164
2025-01-01,ES,PSPP,267445
2025-02-01,ES,PSPP,267445
2025-03-01,ES,PSPP,267411
2025-04-01,ES,PSPP,259778
2025-05-01,ES,PSPP,259778
2025-06-01,ES,PSPP,258859
2025-07-01,ES,PSPP,252171
2025-08-01,ES,PSPP,252171
2025-09-01,ES,PSPP,251949
2025-10-01,ES,PSPP,244667
2025-11-01,ES,PSPP,244667
2025-12-01,ES,PSPP,244667
2026-01-01,ES,PSPP,244667
2026-02-01,ES,PSPP,239531
2026-03-01,ES,PSPP,239491
2026-04-01,ES,PSPP,232716
2026-05-01,ES,PSPP,232569
2026-06-01,ES,PSPP,232262
2026-07-01,ES,PSPP,226040
2026-08-01,ES,PSPP,226040
2015-03-01,FI,PSPP,774
2015-04-01,FI,PSPP,1560
2015-05-01,FI,PSPP,2401
2015-06-01,FI,PSPP,3237
2015-07-01,FI,PSPP,4087
2015-08-01,FI,PSPP,4774
2015-09-01,FI,PSPP,5599
2015-10-01,FI,PSPP,6443
2015-11-01,FI,PSPP,7352
2015-12-01,FI,PSPP,8086
2016-01-01,FI,PSPP,8951
2016-02-01,FI,PSPP,9830
2016-03-01,FI,PSPP,10701
2016-04-01,FI,PSPP,12025
2016-05-01,FI,PSPP,13391
2016-06-01,FI,PSPP,14615
2016-07-01,FI,PSPP,15812
2016-08-01,FI,PSPP,16683
2016-09-01,FI,PSPP,17888
2016-10-01,FI,PSPP,19146
2016-11-01,FI,PSPP,20352
2016-12-01,FI,PSPP,21291
2017-01-01,FI,PSPP,22068
2017-02-01,FI,PSPP,22794
2017-03-01,FI,PSPP,23524
2017-04-01,FI,PSPP,24198
2017-05-01,FI,PSPP,24834
2017-06-01,FI,PSPP,25477
2017-07-01,FI,PSPP,26131
2017-08-01,FI,PSPP,26659
2017-09-01,FI,PSPP,26861
2017-10-01,FI,PSPP,27913
2017-11-01,FI,PSPP,28529
2017-12-01,FI,PSPP,29163
2018-01-01,FI,PSPP,29443
2018-02-01,FI,PSPP,29739
2018-03-01,FI,PSPP,30019
2018-04-01,FI,PSPP,30561
2018-05-01,FI,PSPP,31047
2018-06-01,FI,PSPP,31586
2018-07-01,FI,PSPP,32141
2018-08-01,FI,PSPP,32630
2018-09-01,FI,PSPP,32275
2018-10-01,FI,PSPP,32664
2018-11-01,FI,PSPP,33003
2018-12-01,FI,PSPP,33133
2019-01-01,FI,PSPP,33353
2019-02-01,FI,PSPP,33481
2019-03-01,FI,PSPP,33623
2019-04-01,FI,PSPP,33812
2019-05-01,FI,PSPP,33993
2019-06-01,FI,PSPP,34120
2019-07-01,FI,PSPP,32891
2019-08-01,FI,PSPP,33008
2019-09-01,FI,PSPP,33077
2019-10-01,FI,PSPP,33466
2019-11-01,FI,PSPP,33686
2019-12-01,FI,PSPP,33884
2020-01-01,FI,PSPP,34464
2020-02-01,FI,PSPP,34663
2020-03-01,FI,PSPP,34998
2020-04-01,FI,PSPP,33691
2020-05-01,FI,PSPP,34077
2020-06-01,FI,PSPP,34449
2020-07-01,FI,PSPP,35194
2020-08-01,FI,PSPP,35414
2020-09-01,FI,PSPP,34169
2020-10-01,FI,PSPP,34822
2020-11-01,FI,PSPP,35444
2020-12-01,FI,PSPP,35893
2021-01-01,FI,PSPP,36355
2021-02-01,FI,PSPP,36768
2021-03-01,FI,PSPP,37232
2021-04-01,FI,PSPP,36314
2021-05-01,FI,PSPP,36885
2021-06-01,FI,PSPP,37682
2021-07-01,FI,PSPP,38546
2021-08-01,FI,PSPP,39046
2021-09-01,FI,PSPP,39943
2021-10-01,FI,PSPP,40181
2021-11-01,FI,PSPP,40612
2021-12-01,FI,PSPP,41166
2022-01-01,FI,PSPP,42025
2022-02-01,FI,PSPP,42418
2022-03-01,FI,PSPP,43027
2022-04-01,FI,PSPP,42498
2022-05-01,FI,PSPP,43166
2022-06-01,FI,PSPP,43614
2022-07-01,FI,PSPP,44115
2022-08-01,FI,PSPP,44337
2022-09-01,FI,PSPP,43276
2022-10-01,FI,PSPP,43821
2022-11-01,FI,PSPP,44099
2022-12-01,FI,PSPP,44364
2023-01-01,FI,PSPP,44711
2023-02-01,FI,PSPP,44987
2023-03-01,FI,PSPP,45278
2023-04-01,FI,PSPP,43946
2023-05-01,FI,PSPP,44173
2023-06-01,FI,PSPP,44112
2023-07-01,FI,PSPP,44112
2023-08-01,FI,PSPP,44112
2023-09-01,FI,PSPP,42246
2023-10-01,FI,PSPP,42246
2023-11-01,FI,PSPP,42246
2023-12-01,FI,PSPP,42246
2024-01-01,FI,PSPP,42246
2024-02-01,FI,PSPP,42246
2024-03-01,FI,PSPP,42040
2024-04-01,FI,PSPP,40576
2024-05-01,FI,PSPP,40576
2024-06-01,FI,PSPP,40576
2024-07-01,FI,PSPP,40576
2024-08-01,FI,PSPP,40576
2024-09-01,FI,PSPP,39271
2024-10-01,FI,PSPP,39271
2024-11-01,FI,PSPP,39023
2024-12-01,FI,PSPP,39023
2025-01-01,FI,PSPP,39023
2025-02-01,FI,PSPP,39023
2025-03-01,FI,PSPP,39023
2025-04-01,FI,PSPP,38920
2025-05-01,FI,PSPP,38920
2025-06-01,FI,PSPP,38920
2025-07-01,FI,PSPP,37080
2025-08-01,FI,PSPP,37080
2025-09-01,FI,PSPP,35560
2025-10-01,FI,PSPP,35560
2025-11-01,FI,PSPP,35560
2025-12-01,FI,PSPP,35560
2026-01-01,FI,PSPP,35560
2026-02-01,FI,PSPP,35560
2026-03-01,FI,PSPP,35560
2026-04-01,FI,PSPP,33071
2026-05-01,FI,PSPP,33071
2026-06-01,FI,PSPP,33071
2026-07-01,FI,PSPP,33071
2026-08-01,FI,PSPP,33071
2015-03-01,FR,PSPP,8757
2015-04-01,FR,PSPP,17381
2015-05-01,FR,PSPP,26866
2015-06-01,FR,PSPP,36292
2015-07-01,FR,PSPP,45757
2015-08-01,FR,PSPP,53844
2015-09-01,FR,PSPP,63329
2015-10-01,FR,PSPP,73279
2015-11-01,FR,PSPP,83500
2015-12-01,FR,PSPP,91767
2016-01-01,FR,PSPP,101736
2016-02-01,FR,PSPP,111725
2016-03-01,FR,PSPP,121577
2016-04-01,FR,PSPP,136510
2016-05-01,FR,PSPP,151908
2016-06-01,FR,PSPP,165591
2016-07-01,FR,PSPP,179160
2016-08-01,FR,PSPP,188929
2016-09-01,FR,PSPP,202538
2016-10-01,FR,PSPP,216698
2016-11-01,FR,PSPP,230178
2016-12-01,FR,PSPP,240867
2017-01-01,FR,PSPP,255107
2017-02-01,FR,PSPP,268665
2017-03-01,FR,PSPP,282372
2017-04-01,FR,PSPP,293675
2017-05-01,FR,PSPP,304444
2017-06-01,FR,PSPP,315243
2017-07-01,FR,PSPP,325232
2017-08-01,FR,PSPP,334502
2017-09-01,FR,PSPP,345552
2017-10-01,FR,PSPP,356040
2017-11-01,FR,PSPP,366479
2017-12-01,FR,PSPP,375703
2018-01-01,FR,PSPP,379681
2018-02-01,FR,PSPP,383905
2018-03-01,FR,PSPP,387895
2018-04-01,FR,PSPP,392460
2018-05-01,FR,PSPP,396621
2018-06-01,FR,PSPP,401163
2018-07-01,FR,PSPP,405796
2018-08-01,FR,PSPP,409917
2018-09-01,FR,PSPP,414136
2018-10-01,FR,PSPP,416135
2018-11-01,FR,PSPP,417796
2018-12-01,FR,PSPP,420257
2019-01-01,FR,PSPP,422750
2019-02-01,FR,PSPP,422007
2019-03-01,FR,PSPP,423452
2019-04-01,FR,PSPP,422720
2019-05-01,FR,PSPP,418145
2019-06-01,FR,PSPP,419018
2019-07-01,FR,PSPP,420401
2019-08-01,FR,PSPP,420790
2019-09-01,FR,PSPP,421900
2019-10-01,FR,PSPP,419751
2019-11-01,FR,PSPP,419902
2019-12-01,FR,PSPP,425161
2020-01-01,FR,PSPP,432593
2020-02-01,FR,PSPP,434445
2020-03-01,FR,PSPP,443318
2020-04-01,FR,PSPP,451643
2020-05-01,FR,PSPP,457102
2020-06-01,FR,PSPP,468883
2020-07-01,FR,PSPP,473597
2020-08-01,FR,PSPP,476581
2020-09-01,FR,PSPP,484383
2020-10-01,FR,PSPP,485478
2020-11-01,FR,PSPP,484507
2020-12-01,FR,PSPP,488536
2021-01-01,FR,PSPP,493134
2021-02-01,FR,PSPP,492681
2021-03-01,FR,PSPP,494798
2021-04-01,FR,PSPP,494567
2021-05-01,FR,PSPP,491799
2021-06-01,FR,PSPP,496902
2021-07-01,FR,PSPP,501634
2021-08-01,FR,PSPP,504462
2021-09-01,FR,PSPP,510665
2021-10-01,FR,PSPP,507891
2021-11-01,FR,PSPP,512340
2021-12-01,FR,PSPP,516032
2022-01-01,FR,PSPP,522717
2022-02-01,FR,PSPP,522937
2022-03-01,FR,PSPP,526944
2022-04-01,FR,PSPP,528080
2022-05-01,FR,PSPP,526668
2022-06-01,FR,PSPP,531309
2022-07-01,FR,PSPP,530148
2022-08-01,FR,PSPP,531745
2022-09-01,FR,PSPP,537438
2022-10-01,FR,PSPP,531880
2022-11-01,FR,PSPP,532243
2022-12-01,FR,PSPP,533974
2023-01-01,FR,PSPP,537023
2023-02-01,FR,PSPP,535675
2023-03-01,FR,PSPP,530841
2023-04-01,FR,PSPP,530944
2023-05-01,FR,PSPP,520488
2023-06-01,FR,PSPP,521560
2023-07-01,FR,PSPP,517252
2023-08-01,FR,PSPP,517252
2023-09-01,FR,PSPP,517047
2023-10-01,FR,PSPP,505617
2023-11-01,FR,PSPP,504377
2023-12-01,FR,PSPP,504177
2024-01-01,FR,PSPP,503026
2024-02-01,FR,PSPP,499121
2024-03-01,FR,PSPP,490831
2024-04-01,FR,PSPP,490360
2024-05-01,FR,PSPP,478806
2024-06-01,FR,PSPP,478517
2024-07-01,FR,PSPP,472355
2024-08-01,FR,PSPP,472326
2024-09-01,FR,PSPP,472121
2024-10-01,FR,PSPP,471766
2024-11-01,FR,PSPP,458053
2024-12-01,FR,PSPP,457952
2025-01-01,FR,PSPP,457700
2025-02-01,FR,PSPP,453178
2025-03-01,FR,PSPP,436436
2025-04-01,FR,PSPP,436033
2025-05-01,FR,PSPP,422654
2025-06-01,FR,PSPP,422550
2025-07-01,FR,PSPP,422463
2025-08-01,FR,PSPP,422449
2025-09-01,FR,PSPP,422345
2025-10-01,FR,PSPP,413863
2025-11-01,FR,PSPP,402462
2025-12-01,FR,PSPP,401149
2026-01-01,FR,PSPP,401149
2026-02-01,FR,PSPP,386796
2026-03-01,FR,PSPP,384255
2026-04-01,FR,PSPP,375505
2026-05-01,FR,PSPP,360949
2026-06-01,FR,PSPP,360715
2026-07-01,FR,PSPP,360233
2026-08-01,FR,PSPP,360233
2015-03-01,IE,PSPP,722
2015-04-01,IE,PSPP,1457
2015-05-01,IE,PSPP,2232
2015-06-01,IE,PSPP,3016
2015-07-01,IE,PSPP,3787
2015-08-01,IE,PSPP,4426
2015-09-01,IE,PSPP,5250
2015-10-01,IE,PSPP,6059
2015-11-01,IE,PSPP,6899
2015-12-01,IE,PSPP,7583
2016-01-01,IE,PSPP,8365
2016-02-01,IE,PSPP,9168
2016-03-01,IE,PSPP,9976
2016-04-01,IE,PSPP,11054
2016-05-01,IE,PSPP,12166
2016-06-01,IE,PSPP,13251
2016-07-01,IE,PSPP,14237
2016-08-01,IE,PSPP,14934
2016-09-01,IE,PSPP,15916
2016-10-01,IE,PSPP,16938
2016-11-01,IE,PSPP,17917
2016-12-01,IE,PSPP,18565
2017-01-01,IE,PSPP,19112
2017-02-01,IE,PSPP,19669
2017-03-01,IE,PSPP,20234
2017-04-01,IE,PSPP,20756
2017-05-01,IE,PSPP,21272
2017-06-01,IE,PSPP,21790
2017-07-01,IE,PSPP,22389
2017-08-01,IE,PSPP,22877
2017-09-01,IE,PSPP,23454
2017-10-01,IE,PSPP,23422
2017-11-01,IE,PSPP,24593
2017-12-01,IE,PSPP,25284
2018-01-01,IE,PSPP,25691
2018-02-01,IE,PSPP,26122
2018-03-01,IE,PSPP,26532
2018-04-01,IE,PSPP,27099
2018-05-01,IE,PSPP,27617
2018-06-01,IE,PSPP,28182
2018-07-01,IE,PSPP,28758
2018-08-01,IE,PSPP,29270
2018-09-01,IE,PSPP,29612
2018-10-01,IE,PSPP,29782
2018-11-01,IE,PSPP,29922
2018-12-01,IE,PSPP,30135
2019-01-01,IE,PSPP,30339
2019-02-01,IE,PSPP,30530
2019-03-01,IE,PSPP,30722
2019-04-01,IE,PSPP,30912
2019-05-01,IE,PSPP,31097
2019-06-01,IE,PSPP,31271
2019-07-01,IE,PSPP,31454
2019-08-01,IE,PSPP,31615
2019-09-01,IE,PSPP,31790
2019-10-01,IE,PSPP,31794
2019-11-01,IE,PSPP,32224
2019-12-01,IE,PSPP,32726
2020-01-01,IE,PSPP,33397
2020-02-01,IE,PSPP,33833
2020-03-01,IE,PSPP,34477
2020-04-01,IE,PSPP,33328
2020-05-01,IE,PSPP,33786
2020-06-01,IE,PSPP,34249
2020-07-01,IE,PSPP,34975
2020-08-01,IE,PSPP,35307
2020-09-01,IE,PSPP,36015
2020-10-01,IE,PSPP,36265
2020-11-01,IE,PSPP,37001
2020-12-01,IE,PSPP,37526
2021-01-01,IE,PSPP,37861
2021-02-01,IE,PSPP,38175
2021-03-01,IE,PSPP,38567
2021-04-01,IE,PSPP,38885
2021-05-01,IE,PSPP,39122
2021-06-01,IE,PSPP,39430
2021-07-01,IE,PSPP,39699
2021-08-01,IE,PSPP,39929
2021-09-01,IE,PSPP,40259
2021-10-01,IE,PSPP,40507
2021-11-01,IE,PSPP,40776
2021-12-01,IE,PSPP,41034
2022-01-01,IE,PSPP,41712
2022-02-01,IE,PSPP,41968
2022-03-01,IE,PSPP,40204
2022-04-01,IE,PSPP,41337
2022-05-01,IE,PSPP,41982
2022-06-01,IE,PSPP,42422
2022-07-01,IE,PSPP,42839
2022-08-01,IE,PSPP,42968
2022-09-01,IE,PSPP,43586
2022-10-01,IE,PSPP,42480
2022-11-01,IE,PSPP,42711
2022-12-01,IE,PSPP,42928
2023-01-01,IE,PSPP,43115
2023-02-01,IE,PSPP,43259
2023-03-01,IE,PSPP,41174
2023-04-01,IE,PSPP,41272
2023-05-01,IE,PSPP,41421
2023-06-01,IE,PSPP,41477
2023-07-01,IE,PSPP,41477
2023-08-01,IE,PSPP,41477
2023-09-01,IE,PSPP,41477
2023-10-01,IE,PSPP,41477
2023-11-01,IE,PSPP,41477
2023-12-01,IE,PSPP,41477
2024-01-01,IE,PSPP,41477
2024-02-01,IE,PSPP,41477
2024-03-01,IE,PSPP,38984
2024-04-01,IE,PSPP,38984
2024-05-01,IE,PSPP,38984
2024-06-01,IE,PSPP,38984
2024-07-01,IE,PSPP,38984
2024-08-01,IE,PSPP,38984
2024-09-01,IE,PSPP,38984
2024-10-01,IE,PSPP,38984
2024-11-01,IE,PSPP,38984
2024-12-01,IE,PSPP,38984
2025-01-01,IE,PSPP,38984
2025-02-01,IE,PSPP,38984
2025-03-01,IE,PSPP,36191
2025-04-01,IE,PSPP,36191
2025-05-01,IE,PSPP,36191
2025-06-01,IE,PSPP,36191
2025-07-01,IE,PSPP,36191
2025-08-01,IE,PSPP,36191
2025-09-01,IE,PSPP,36191
2025-10-01,IE,PSPP,36191
2025-11-01,IE,PSPP,36191
2025-12-01,IE,PSPP,36191
2026-01-01,IE,PSPP,36191
2026-02-01,IE,PSPP,36191
2026-03-01,IE,PSPP,36191
2026-04-01,IE,PSPP,36191
2026-05-01,IE,PSPP,32446
2026-06-01,IE,PSPP,32446
2026-07-01,IE,PSPP,32446
2026-08-01,IE,PSPP,32446
2015-03-01,IT,PSPP,7609
2015-04-01,IT,PSPP,15194
2015-05-01,IT,PSPP,23422
2015-06-01,IT,PSPP,31586
2015-07-01,IT,PSPP,39834
2015-08-01,IT,PSPP,46553
2015-09-01,IT,PSPP,54787
2015-10-01,IT,PSPP,63152
2015-11-01,IT,PSPP,72028
2015-12-01,IT,PSPP,79209
2016-01-01,IT,PSPP,87768
2016-02-01,IT,PSPP,96267
2016-03-01,IT,PSPP,104797
2016-04-01,IT,PSPP,117795
2016-05-01,IT,PSPP,131237
2016-06-01,IT,PSPP,144009
2016-07-01,IT,PSPP,155876
2016-08-01,IT,PSPP,164352
2016-09-01,IT,PSPP,176160
2016-10-01,IT,PSPP,188483
2016-11-01,IT,PSPP,200190
2016-12-01,IT,PSPP,209607
2017-01-01,IT,PSPP,221909
2017-02-01,IT,PSPP,233694
2017-03-01,IT,PSPP,245584
2017-04-01,IT,PSPP,255345
2017-05-01,IT,PSPP,264764
2017-06-01,IT,PSPP,274087
2017-07-01,IT,PSPP,283710
2017-08-01,IT,PSPP,291367
2017-09-01,IT,PSPP,300571
2017-10-01,IT,PSPP,309692
2017-11-01,IT,PSPP,318769
2017-12-01,IT,PSPP,326727
2018-01-01,IT,PSPP,330148
2018-02-01,IT,PSPP,333786
2018-03-01,IT,PSPP,337208
2018-04-01,IT,PSPP,341179
2018-05-01,IT,PSPP,344788
2018-06-01,IT,PSPP,348736
2018-07-01,IT,PSPP,352805
2018-08-01,IT,PSPP,356403
2018-09-01,IT,PSPP,360033
2018-10-01,IT,PSPP,361786
2018-11-01,IT,PSPP,363220
2018-12-01,IT,PSPP,365354
2019-01-01,IT,PSPP,368687
2019-02-01,IT,PSPP,368948
2019-03-01,IT,PSPP,370478
2019-04-01,IT,PSPP,370418
2019-05-01,IT,PSPP,366487
2019-06-01,IT,PSPP,367172
2019-07-01,IT,PSPP,369242
2019-08-01,IT,PSPP,366826
2019-09-01,IT,PSPP,365814
2019-10-01,IT,PSPP,362829
2019-11-01,IT,PSPP,363821
2019-12-01,IT,PSPP,363788
2020-01-01,IT,PSPP,368340
2020-02-01,IT,PSPP,370606
2020-03-01,IT,PSPP,382461
2020-04-01,IT,PSPP,393380
2020-05-01,IT,PSPP,396233
2020-06-01,IT,PSPP,398560
2020-07-01,IT,PSPP,406436
2020-08-01,IT,PSPP,408163
2020-09-01,IT,PSPP,411405
2020-10-01,IT,PSPP,413444
2020-11-01,IT,PSPP,411971
2020-12-01,IT,PSPP,411198
2021-01-01,IT,PSPP,414990
2021-02-01,IT,PSPP,418790
2021-03-01,IT,PSPP,421581
2021-04-01,IT,PSPP,424762
2021-05-01,IT,PSPP,425347
2021-06-01,IT,PSPP,421649
2021-07-01,IT,PSPP,427358
2021-08-01,IT,PSPP,426749
2021-09-01,IT,PSPP,430516
2021-10-01,IT,PSPP,433577
2021-11-01,IT,PSPP,429794
2021-12-01,IT,PSPP,429415
2022-01-01,IT,PSPP,435606
2022-02-01,IT,PSPP,437654
2022-03-01,IT,PSPP,441027
2022-04-01,IT,PSPP,442390
2022-05-01,IT,PSPP,447878
2022-06-01,IT,PSPP,447981
2022-07-01,IT,PSPP,450237
2022-08-01,IT,PSPP,447493
2022-09-01,IT,PSPP,443161
2022-10-01,IT,PSPP,448666
2022-11-01,IT,PSPP,445699
2022-12-01,IT,PSPP,443560
2023-01-01,IT,PSPP,442578
2023-02-01,IT,PSPP,444893
2023-03-01,IT,PSPP,441881
2023-04-01,IT,PSPP,442302
2023-05-01,IT,PSPP,441942
2023-06-01,IT,PSPP,439781
2023-07-01,IT,PSPP,435899
2023-08-01,IT,PSPP,427711
2023-09-01,IT,PSPP,423936
2023-10-01,IT,PSPP,416584
2023-11-01,IT,PSPP,413940
2023-12-01,IT,PSPP,413400
2024-01-01,IT,PSPP,409805
2024-02-01,IT,PSPP,405392
2024-03-01,IT,PSPP,399692
2024-04-01,IT,PSPP,396202
2024-05-01,IT,PSPP,390282
2024-06-01,IT,PSPP,390037
2024-07-01,IT,PSPP,386095
2024-08-01,IT,PSPP,383482
2024-09-01,IT,PSPP,373953
2024-10-01,IT,PSPP,369848
2024-11-01,IT,PSPP,365218
2024-12-01,IT,PSPP,357787
2025-01-01,IT,PSPP,355566
2025-02-01,IT,PSPP,350446
2025-03-01,IT,PSPP,344117
2025-04-01,IT,PSPP,341858
2025-05-01,IT,PSPP,338798
2025-06-01,IT,PSPP,332214
2025-07-01,IT,PSPP,327949
2025-08-01,IT,PSPP,324797
2025-09-01,IT,PSPP,322547
2025-10-01,IT,PSPP,322547
2025-11-01,IT,PSPP,318265
2025-12-01,IT,PSPP,312202
2026-01-01,IT,PSPP,310968
2026-02-01,IT,PSPP,306487
2026-03-01,IT,PSPP,300771
2026-04-01,IT,PSPP,295961
2026-05-01,IT,PSPP,295865
2026-06-01,IT,PSPP,289443
2026-07-01,IT,PSPP,285817
2026-08-01,IT,PSPP,282860
2015-03-01,LT,PSPP,39
2015-04-01,LT,PSPP,122
2015-05-01,LT,PSPP,245
2015-06-01,LT,PSPP,378
2015-07-01,LT,PSPP,504
2015-08-01,LT,PSPP,647
2015-09-01,LT,PSPP,772
2015-10-01,LT,PSPP,886
2015-11-01,LT,PSPP,1003
2015-12-01,LT,PSPP,1107
2016-01-01,LT,PSPP,1216
2016-02-01,LT,PSPP,1325
2016-03-01,LT,PSPP,1450
2016-04-01,LT,PSPP,1554
2016-05-01,LT,PSPP,1667
2016-06-01,LT,PSPP,1772
2016-07-01,LT,PSPP,1844
2016-08-01,LT,PSPP,1892
2016-09-01,LT,PSPP,1965
2016-10-01,LT,PSPP,2090
2016-11-01,LT,PSPP,2189
2016-12-01,LT,PSPP,2264
2017-01-01,LT,PSPP,2334
2017-02-01,LT,PSPP,2399
2017-03-01,LT,PSPP,2474
2017-04-01,LT,PSPP,2531
2017-05-01,LT,PSPP,2583
2017-06-01,LT,PSPP,2621
2017-07-01,LT,PSPP,2680
2017-08-01,LT,PSPP,2684
2017-09-01,LT,PSPP,2713
2017-10-01,LT,PSPP,2773
2017-11-01,LT,PSPP,2842
2017-12-01,LT,PSPP,2904
2018-01-01,LT,PSPP,2976
2018-02-01,LT,PSPP,2775
2018-03-01,LT,PSPP,2778
2018-04-01,LT,PSPP,2820
2018-05-01,LT,PSPP,2795
2018-06-01,LT,PSPP,2856
2018-07-01,LT,PSPP,2898
2018-08-01,LT,PSPP,2939
2018-09-01,LT,PSPP,3102
2018-10-01,LT,PSPP,3115
2018-11-01,LT,PSPP,3143
2018-12-01,LT,PSPP,3164
2019-01-01,LT,PSPP,3186
2019-02-01,LT,PSPP,3197
2019-03-01,LT,PSPP,3211
2019-04-01,LT,PSPP,3170
2019-05-01,LT,PSPP,3211
2019-06-01,LT,PSPP,3212
2019-07-01,LT,PSPP,3326
2019-08-01,LT,PSPP,3345
2019-09-01,LT,PSPP,3475
2019-10-01,LT,PSPP,3556
2019-11-01,LT,PSPP,3632
2019-12-01,LT,PSPP,3705
2020-01-01,LT,PSPP,3778
2020-02-01,LT,PSPP,3814
2020-03-01,LT,PSPP,3839
2020-04-01,LT,PSPP,3904
2020-05-01,LT,PSPP,3873
2020-06-01,LT,PSPP,3937
2020-07-01,LT,PSPP,4083
2020-08-01,LT,PSPP,4177
2020-09-01,LT,PSPP,4301
2020-10-01,LT,PSPP,4368
2020-11-01,LT,PSPP,4475
2020-12-01,LT,PSPP,4590
2021-01-01,LT,PSPP,4693
2021-02-01,LT,PSPP,4686
2021-03-01,LT,PSPP,4796
2021-04-01,LT,PSPP,4930
2021-05-01,LT,PSPP,4924
2021-06-01,LT,PSPP,5042
2021-07-01,LT,PSPP,5159
2021-08-01,LT,PSPP,5136
2021-09-01,LT,PSPP,5261
2021-10-01,LT,PSPP,5348
2021-11-01,LT,PSPP,5425
2021-12-01,LT,PSPP,5497
2022-01-01,LT,PSPP,5599
2022-02-01,LT,PSPP,5653
2022-03-01,LT,PSPP,5643
2022-04-01,LT,PSPP,5789
2022-05-01,LT,PSPP,5794
2022-06-01,LT,PSPP,5885
2022-07-01,LT,PSPP,5937
2022-08-01,LT,PSPP,5971
2022-09-01,LT,PSPP,5919
2022-10-01,LT,PSPP,5968
2022-11-01,LT,PSPP,5996
2022-12-01,LT,PSPP,6025
2023-01-01,LT,PSPP,6114
2023-02-01,LT,PSPP,6158
2023-03-01,LT,PSPP,6176
2023-04-01,LT,PSPP,6159
2023-05-01,LT,PSPP,6173
2023-06-01,LT,PSPP,6122
2023-07-01,LT,PSPP,6122
2023-08-01,LT,PSPP,6022
2023-09-01,LT,PSPP,6022
2023-10-01,LT,PSPP,6022
2023-11-01,LT,PSPP,6022
2023-12-01,LT,PSPP,6022
2024-01-01,LT,PSPP,5794
2024-02-01,LT,PSPP,5794
2024-03-01,LT,PSPP,5794
2024-04-01,LT,PSPP,5635
2024-05-01,LT,PSPP,5635
2024-06-01,LT,PSPP,5411
2024-07-01,LT,PSPP,5411
2024-08-01,LT,PSPP,5304
2024-09-01,LT,PSPP,5304
2024-10-01,LT,PSPP,5304
2024-11-01,LT,PSPP,5218
2024-12-01,LT,PSPP,5218
2025-01-01,LT,PSPP,5218
2025-02-01,LT,PSPP,5218
2025-03-01,LT,PSPP,5218
2025-04-01,LT,PSPP,5218
2025-05-01,LT,PSPP,4930
2025-06-01,LT,PSPP,4930
2025-07-01,LT,PSPP,4930
2025-08-01,LT,PSPP,4885
2025-09-01,LT,PSPP,4881
2025-10-01,LT,PSPP,4637
2025-11-01,LT,PSPP,4530
2025-12-01,LT,PSPP,4530
2026-01-01,LT,PSPP,4413
2026-02-01,LT,PSPP,4413
2026-03-01,LT,PSPP,4413
2026-04-01,LT,PSPP,4413
2026-05-01,LT,PSPP,4413
2026-06-01,LT,PSPP,4268
2026-07-01,LT,PSPP,4268
2026-08-01,LT,PSPP,4268
2015-03-01,LU,PSPP,183
2015-04-01,LU,PSPP,388
2015-05-01,LU,PSPP,472
2015-06-01,LU,PSPP,733
2015-07-01,LU,PSPP,813
2015-08-01,LU,PSPP,899
2015-09-01,LU,PSPP,1037
2015-10-01,LU,PSPP,1043
2015-11-01,LU,PSPP,1073
2015-12-01,LU,PSPP,1115
2016-01-01,LU,PSPP,1284
2016-02-01,LU,PSPP,1394
2016-03-01,LU,PSPP,1538
2016-04-01,LU,PSPP,1573
2016-05-01,LU,PSPP,1589
2016-06-01,LU,PSPP,1615
2016-07-01,LU,PSPP,1621
2016-08-01,LU,PSPP,1621
2016-09-01,LU,PSPP,1631
2016-10-01,LU,PSPP,1634
2016-11-01,LU,PSPP,1709
2016-12-01,LU,PSPP,1743
2017-01-01,LU,PSPP,1753
2017-02-01,LU,PSPP,1827
2017-03-01,LU,PSPP,1894
2017-04-01,LU,PSPP,1943
2017-05-01,LU,PSPP,2024
2017-06-01,LU,PSPP,2080
2017-07-01,LU,PSPP,2141
2017-08-01,LU,PSPP,2188
2017-09-01,LU,PSPP,2243
2017-10-01,LU,PSPP,2282
2017-11-01,LU,PSPP,2312
2017-12-01,LU,PSPP,2385
2018-01-01,LU,PSPP,2412
2018-02-01,LU,PSPP,2437
2018-03-01,LU,PSPP,2464
2018-04-01,LU,PSPP,2504
2018-05-01,LU,PSPP,2515
2018-06-01,LU,PSPP,2520
2018-07-01,LU,PSPP,2526
2018-08-01,LU,PSPP,2572
