month,ncb,programme,wam_years
2015-11-01,CY,PSPP,5.9
2015-11-01,DE,PSPP,7.0
2015-11-01,EE,PSPP,2.62
2015-11-01,ES,PSPP,9.73
2015-11-01,FI,PSPP,7.59
2015-11-01,FR,PSPP,7.8
2015-11-01,IE,PSPP,9.32
2015-11-01,IT,PSPP,9.27
2015-11-01,LT,PSPP,5.62
2015-11-01,LU,PSPP,6.12
2015-11-01,LV,PSPP,5.87
2015-11-01,MT,PSPP,9.6
2015-11-01,NL,PSPP,6.57
2015-11-01,PT,PSPP,10.56
2015-11-01,SI,PSPP,8.12
2015-11-01,SK,PSPP,8.52
2015-12-01,AT,PSPP,8.51
2015-12-01,BE,PSPP,9.51
2015-12-01,CY,PSPP,5.81
2015-12-01,DE,PSPP,6.99
2015-12-01,EE,PSPP,2.53
2015-12-01,ES,PSPP,9.69
2015-12-01,FI,PSPP,7.59
2015-12-01,FR,PSPP,7.73
2015-12-01,IE,PSPP,9.4
2015-12-01,IT,PSPP,9.27
2015-12-01,LT,PSPP,6.0
2015-12-01,LU,PSPP,6.06
2015-12-01,LV,PSPP,5.85
2015-12-01,MT,PSPP,9.62
2015-12-01,NL,PSPP,6.51
2015-12-01,PT,PSPP,10.35
2015-12-01,SI,PSPP,7.96
2015-12-01,SK,PSPP,8.58
2016-01-01,AT,PSPP,8.36
2016-01-01,BE,PSPP,9.52
2016-01-01,CY,PSPP,5.73
2016-01-01,DE,PSPP,6.99
2016-01-01,EE,PSPP,2.45
2016-01-01,ES,PSPP,9.76
2016-01-01,FI,PSPP,7.59
2016-01-01,FR,PSPP,7.68
2016-01-01,IE,PSPP,9.47
2016-01-01,IT,PSPP,9.31
2016-01-01,LT,PSPP,6.23
2016-01-01,LU,PSPP,6.07
2016-01-01,LV,PSPP,5.69
2016-01-01,MT,PSPP,9.58
2016-01-01,NL,PSPP,6.5
2016-01-01,PT,PSPP,10.21
2016-01-01,SI,PSPP,7.73
2016-01-01,SK,PSPP,8.4
2016-02-01,AT,PSPP,8.42
2016-02-01,BE,PSPP,9.58
2016-02-01,CY,PSPP,5.65
2016-02-01,DE,PSPP,6.95
2016-02-01,EE,PSPP,2.37
2016-02-01,ES,PSPP,9.74
2016-02-01,FI,PSPP,7.71
2016-02-01,FR,PSPP,7.68
2016-02-01,IE,PSPP,9.48
2016-02-01,IT,PSPP,9.33
2016-02-01,LT,PSPP,6.46
2016-02-01,LU,PSPP,6.09
2016-02-01,LV,PSPP,5.57
2016-02-01,MT,PSPP,9.53
2016-02-01,NL,PSPP,6.69
2016-02-01,PT,PSPP,10.11
2016-02-01,SI,PSPP,7.56
2016-02-01,SK,PSPP,8.32
2016-03-01,AT,PSPP,8.42
2016-03-01,BE,PSPP,9.71
2016-03-01,CY,PSPP,5.52
2016-03-01,DE,PSPP,7.02
2016-03-01,EE,PSPP,2.28
2016-03-01,ES,PSPP,9.69
2016-03-01,FI,PSPP,7.66
2016-03-01,FR,PSPP,7.65
2016-03-01,IE,PSPP,9.43
2016-03-01,IT,PSPP,9.33
2016-03-01,LT,PSPP,6.66
2016-03-01,LU,PSPP,6.16
2016-03-01,LV,PSPP,5.45
2016-03-01,MT,PSPP,10.34
2016-03-01,NL,PSPP,6.81
2016-03-01,PT,PSPP,10.17
2016-03-01,SI,PSPP,7.73
2016-03-01,SK,PSPP,8.25
2016-04-01,AT,PSPP,8.67
2016-04-01,BE,PSPP,9.8
2016-04-01,CY,PSPP,5.43
2016-04-01,DE,PSPP,7.15
2016-04-01,EE,PSPP,2.2
2016-04-01,ES,PSPP,9.58
2016-04-01,FI,PSPP,7.59
2016-04-01,FR,PSPP,7.66
