passages_per_gov_halfyear,beta,power,mean_beta_hat,sd_beta_hat,expected_passages_total
1.0,0.0,0.06666666666666667,-0.008101003098939874,0.15908065892767007,440.0
1.0,0.3,0.5,0.3003567325156877,0.14401470469069763,440.0
1.0,0.45,0.82,0.4470835163879645,0.14423743704301584,440.0
1.0,0.6,0.9933333333333333,0.5845211363248133,0.14444176221658983,440.0
2.0,0.0,0.03333333333333333,0.004349635252254034,0.10067865152428013,880.0
2.0,0.3,0.8266666666666667,0.30854974218158154,0.10285515191119776,880.0
2.0,0.45,0.9933333333333333,0.45958427784278694,0.1021924572950109,880.0
2.0,0.6,1.0,0.5981099520121349,0.10692003965393146,880.0
4.0,0.0,0.05333333333333334,0.0008379742631122081,0.0758648851458382,1760.0
4.0,0.3,0.9466666666666667,0.2972489497365531,0.07742671627528065,1760.0
4.0,0.45,1.0,0.4436054151043527,0.07509447371897139,1760.0
4.0,0.6,1.0,0.5895118193483145,0.07627828573609802,1760.0
